test_type,axis,direction,target_speed,sample_count,moved,mean_signed,mean_abs,peak_abs,active_ratio
breakaway,vx,1,0.005,50,False,0.0,0.0,0.0,0.0
breakaway,vx,1,0.008,50,False,0.0,0.0,0.0,0.0
breakaway,vx,1,0.01,50,False,-0.00048,0.00048,0.003,0.0
breakaway,vx,1,0.015,50,False,0.0,0.0,0.0,0.0
breakaway,vx,1,0.02,50,False,-0.0012000000000000001,0.0012000000000000001,0.007,0.0
breakaway,vx,1,0.03,50,True,-0.03524,0.03572,0.166,0.0
breakaway,vx,1,0.04,50,True,-0.33772,0.33772,1.017,0.0
breakaway,vx,1,0.05,50,True,-0.6378,0.6378,1.075,0.0
breakaway,vx,1,0.06,50,True,-0.81444,0.81444,1.094,0.0
hold,vx,1,0.005,50,False,0.0,0.0,0.0,0.0
hold,vx,1,0.008,50,False,0.0,0.0,0.0,0.0
hold,vx,1,0.01,50,False,0.0,0.0,0.0,0.0
hold,vx,1,0.015,50,False,-0.0005200000000000001,0.0005200000000000001,0.007,0.0
hold,vx,1,0.02,50,True,-0.00516,0.00516,0.042,0.0
hold,vx,1,0.03,50,True,-0.14528,0.14528,0.622,0.0
hold,vx,1,0.04,50,True,-0.40408,0.40408,1.059,0.0
hold,vx,1,0.05,50,True,-0.7358,0.7358,1.09,0.0
hold,vx,1,0.06,50,True,-0.90808,0.90808,1.109,0.0
breakaway,wz,1,0.03,50,False,0.0,0.0,0.0,0.0
breakaway,wz,1,0.05,50,False,-0.00184,0.00184,0.023,0.0
breakaway,wz,1,0.08,50,False,0.0,0.0,0.0,0.0
breakaway,wz,1,0.1,50,False,0.0,0.0,0.0,0.0
breakaway,wz,1,0.12,50,False,-0.00092,0.00092,0.023,0.0
breakaway,wz,1,0.16,50,True,-0.0272,0.0272,0.211,0.0
breakaway,wz,1,0.2,50,True,-0.14271999999999999,0.14271999999999999,0.94,0.0
breakaway,wz,1,0.24,50,True,-1.5376400000000001,1.5376400000000001,5.687,0.0
hold,wz,1,0.03,50,False,0.0,0.0,0.0,0.0
hold,wz,1,0.05,50,False,0.0,0.0,0.0,0.0
hold,wz,1,0.08,50,False,0.0,0.0,0.0,0.0
hold,wz,1,0.1,50,False,0.0,0.0,0.0,0.0
hold,wz,1,0.12,50,False,-0.00092,0.00092,0.023,0.0
hold,wz,1,0.16,50,True,-0.02528,0.02528,0.188,0.0
hold,wz,1,0.2,50,True,-0.67284,0.67284,3.055,0.0
hold,wz,1,0.24,50,True,-2.1722799999999998,2.1722799999999998,6.322,0.0
